condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
a2780_in_vitro__doxorubicin_0_05_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_0_05_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.05,uM,0,48,h,1,
a2780_in_vitro__doxorubicin_0_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_0_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.1,uM,0,48,h,1,
a2780_in_vitro__doxorubicin_0_2_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_0_2_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.2,uM,0,48,h,1,
a2780_in_vitro__doxorubicin_0_4_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_0_4_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.4,uM,0,48,h,1,
a2780_in_vitro__doxorubicin_0_6_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_0_6_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.6,uM,0,48,h,1,
a2780_in_vitro__doxorubicin_0_8_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_0_8_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.8,uM,0,48,h,1,
a2780_in_vitro__doxorubicin_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__doxorubicin_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,1.0,uM,0,48,h,1,
a2780_in_vitro__vehicle_control_24_h_fig4c_ps6_blot__step_1,a2780_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,Vehicle,,,0,24,h,1,
a2780_in_vitro__vehicle_control_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_in_vitro__vehicle_control_48_h_fig1c_pair_a2780_vs_a2780_dx,Vehicle,,,0,48,h,1,
isolated_abcb1_membrane_preparation__fig4a_bez_150_nm__step_1,isolated_abcb1_membrane_preparation__fig4a_bez_150_nm,Dactolisib,150.0,nM,,,,1,
isolated_abcb1_membrane_preparation__fig4a_bez_50_nm__step_1,isolated_abcb1_membrane_preparation__fig4a_bez_50_nm,Dactolisib,50.0,nM,,,,1,
isolated_abcb1_membrane_preparation__fig4a_dox_0_2_um__step_1,isolated_abcb1_membrane_preparation__fig4a_dox_0_2_um,Doxorubicin,0.2,uM,,,,1,
isolated_abcb1_membrane_preparation__fig4a_no_treatment__step_1,isolated_abcb1_membrane_preparation__fig4a_no_treatment,Vehicle,,,,,,1,
isolated_abcb1_membrane_preparation__fig4a_sildenafil_10_um__step_1,isolated_abcb1_membrane_preparation__fig4a_sildenafil_10_um,Sildenafil,10.0,uM,,,,1,
isolated_abcb1_membrane_preparation__fig4a_vanadate__step_1,isolated_abcb1_membrane_preparation__fig4a_vanadate,Vanadate,,,,,,1,
isolated_abcb1_membrane_preparation__fig4a_verapamil_positive_control_substrate__step_1,isolated_abcb1_membrane_preparation__fig4a_verapamil_positive_control_substrate,Verapamil,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_bez_150_nm__step_1,isolated_abcb1_membrane_preparation__fig4b_bez_150_nm,Dactolisib,150.0,nM,,,,1,
isolated_abcb1_membrane_preparation__fig4b_bez_50_nm__step_1,isolated_abcb1_membrane_preparation__fig4b_bez_50_nm,Dactolisib,50.0,nM,,,,1,
isolated_abcb1_membrane_preparation__fig4b_no_treatment__step_1,isolated_abcb1_membrane_preparation__fig4b_no_treatment,Vehicle,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_vanadate__step_1,isolated_abcb1_membrane_preparation__fig4b_vanadate,Vanadate,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_verapamil__step_1,isolated_abcb1_membrane_preparation__fig4b_verapamil,Verapamil,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_150_nm__step_1,isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_150_nm,Verapamil,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_150_nm__step_2,isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_150_nm,Dactolisib,150.0,nM,,,,2,
isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_50_nm__step_1,isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_50_nm,Verapamil,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_50_nm__step_2,isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_50_nm,Dactolisib,50.0,nM,,,,2,
isolated_abcb1_membrane_preparation__fig4b_verapamil_vanadate__step_1,isolated_abcb1_membrane_preparation__fig4b_verapamil_vanadate,Verapamil,,,,,,1,
isolated_abcb1_membrane_preparation__fig4b_verapamil_vanadate__step_2,isolated_abcb1_membrane_preparation__fig4b_verapamil_vanadate,Vanadate,,,,,,2,
mia_b1_in_vitro__bez235_0_nm_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_0_nm_48_h_fig6_parp_blot,Vehicle,,,0,48,h,1,
mia_b1_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,1,
mia_b1_in_vitro__bez235_150_nm_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_150_nm_48_h_fig6_parp_blot,Dactolisib,150.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,150.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,mia_b1_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__bez235_300_nm_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_300_nm_48_h_fig6_parp_blot,Dactolisib,300.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,300.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,mia_b1_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot__step_1,mia_b1_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,Dactolisib,50,nM,0,24,h,1,
mia_b1_in_vitro__bez235_50_nm_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_50_nm_48_h_fig6_parp_blot,Dactolisib,50.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,50.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,mia_b1_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__bez235_600_nm_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_600_nm_48_h_fig6_parp_blot,Dactolisib,600.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,mia_b1_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,600.0,nM,0,48,h,1,
mia_b1_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,mia_b1_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__bez_150nm_48_h_fig5b__step_1,mia_b1_in_vitro__bez_150nm_48_h_fig5b,Dactolisib,150.0,nM,0,48,h,1,
mia_b1_in_vitro__bez_300nm_48_h_fig5b__step_1,mia_b1_in_vitro__bez_300nm_48_h_fig5b,Dactolisib,300.0,nM,0,48,h,1,
mia_b1_in_vitro__bez_50nm_48_h_fig5b__step_1,mia_b1_in_vitro__bez_50nm_48_h_fig5b,Dactolisib,50.0,nM,0,48,h,1,
mia_b1_in_vitro__bez_600nm_48_h_fig5b__step_1,mia_b1_in_vitro__bez_600nm_48_h_fig5b,Dactolisib,600.0,nM,0,48,h,1,
mia_b1_in_vitro__control_48_h_fig5b__step_1,mia_b1_in_vitro__control_48_h_fig5b,Vehicle,,,0,48,h,1,
mia_b1_in_vitro__dox_0_5um_alone_48_h_fig5b__step_1,mia_b1_in_vitro__dox_0_5um_alone_48_h_fig5b,Doxorubicin,0.5,uM,0,48,h,1,
mia_b1_in_vitro__dox_bez_150nm_48_h_fig5b__step_1,mia_b1_in_vitro__dox_bez_150nm_48_h_fig5b,Dactolisib,150.0,nM,0,48,h,1,
mia_b1_in_vitro__dox_bez_150nm_48_h_fig5b__step_2,mia_b1_in_vitro__dox_bez_150nm_48_h_fig5b,Doxorubicin,0.5,uM,0,48,h,2,
