condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
plc5_shao_in_vitro__dinaciclib_10_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_72_h,Dinaciclib,10.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling,Dinaciclib,10.0,nM,0,72.0,h,1,
plc5_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,Dinaciclib,10.0,nM,0,72.0,h,1,
plc5_shao_in_vitro__dinaciclib_15_nm_48_h_cell_cycle__step_1,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_cell_cycle,Dinaciclib,15.0,nM,0,48,h,1,
plc5_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling__step_1,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling,Dinaciclib,15.0,nM,0,48.0,h,1,
plc5_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement__step_1,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,Dinaciclib,15.0,nM,0,48.0,h,1,
plc5_shao_in_vitro__dinaciclib_15_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_15_nm_72_h,Dinaciclib,15.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling__step_1,plc5_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling,Dinaciclib,15.0,nM,0,72.0,h,1,
plc5_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement__step_1,plc5_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,Dinaciclib,15.0,nM,0,72.0,h,1,
plc5_shao_in_vitro__dinaciclib_20_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_20_nm_72_h,Dinaciclib,20.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_25_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_25_nm_72_h,Dinaciclib,25.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_30_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_30_nm_72_h,Dinaciclib,30.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_50_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_50_nm_72_h,Dinaciclib,50.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation,Dinaciclib,5,nM,0,12,d,1,
plc5_shao_in_vitro__dinaciclib_5_nm_48_h_cell_cycle__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_cell_cycle,Dinaciclib,5.0,nM,0,48,h,1,
plc5_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling,Dinaciclib,5.0,nM,0,48.0,h,1,
plc5_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,Dinaciclib,5.0,nM,0,48.0,h,1,
plc5_shao_in_vitro__dinaciclib_5_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_72_h,Dinaciclib,5.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling,Dinaciclib,5.0,nM,0,72.0,h,1,
plc5_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement__step_1,plc5_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,Dinaciclib,5.0,nM,0,72.0,h,1,
plc5_shao_in_vitro__vehicle_control_10_14_d_colony_formation__step_1,plc5_shao_in_vitro__vehicle_control_10_14_d_colony_formation,Vehicle,,,0,12,d,1,
plc5_shao_in_vitro__vehicle_control_48_h_cell_cycle__step_1,plc5_shao_in_vitro__vehicle_control_48_h_cell_cycle,Vehicle,,,0,48,h,1,
plc5_shao_in_vitro__vehicle_control_48_h_survival_signaling__step_1,plc5_shao_in_vitro__vehicle_control_48_h_survival_signaling,Vehicle,,,0,48.0,h,1,
plc5_shao_in_vitro__vehicle_control_48_h_target_engagement__step_1,plc5_shao_in_vitro__vehicle_control_48_h_target_engagement,Vehicle,,,0,48.0,h,1,
plc5_shao_in_vitro__vehicle_control_72_h__step_1,plc5_shao_in_vitro__vehicle_control_72_h,Vehicle,,,0,72,h,1,
plc5_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response__step_1,plc5_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,Vehicle,,,0,72,h,1,
plc5_shao_in_vitro__vehicle_control_72_h_survival_signaling__step_1,plc5_shao_in_vitro__vehicle_control_72_h_survival_signaling,Vehicle,,,0,72.0,h,1,
plc5_shao_in_vitro__vehicle_control_72_h_target_engagement__step_1,plc5_shao_in_vitro__vehicle_control_72_h_target_engagement,Vehicle,,,0,72.0,h,1,
plc5_shao_xenograft__dinaciclib_20_mg_kg__step_1,plc5_shao_xenograft__dinaciclib_20_mg_kg,Dinaciclib,20.0,mg/kg,0,,d,1,IP.
plc5_shao_xenograft__dinaciclib_40_mg_kg__step_1,plc5_shao_xenograft__dinaciclib_40_mg_kg,Dinaciclib,40.0,mg/kg,0,,d,1,IP.
plc5_shao_xenograft__sorafenib_15_mg_kg__step_1,plc5_shao_xenograft__sorafenib_15_mg_kg,Sorafenib,15.0,mg/kg,0,,d,1,"Oral, daily."
plc5_shao_xenograft__vehicle__step_1,plc5_shao_xenograft__vehicle,Vehicle,,,,,d,1,
tcga_hcc_ccne1_cohort__ccne1_high_vs_ccne1_low_tcga_km_plotter_stratification__step_1,tcga_hcc_ccne1_cohort__ccne1_high_vs_ccne1_low_tcga_km_plotter_stratification,Vehicle,,,,,,1,
