condition_key,context_key,condition_label,notes
skov3_onc201_1_ClpP_siRNA_fig5g,skov3_in_vitro,"ONC201 1 uM, ClpP_siRNA (Fig5G)",
skov3_onc201_10_ClpP_siRNA_fig5g,skov3_in_vitro,"ONC201 10 uM, ClpP_siRNA (Fig5G)",
skov3_onc201_100_ClpP_siRNA_fig5g,skov3_in_vitro,"ONC201 100 uM, ClpP_siRNA (Fig5G)",
ovcar5_onc201_0_fig6ab,ovcar5_in_vitro,ONC201 0 uM (Fig6A-B),
ovcar5_onc201_1_fig6ab,ovcar5_in_vitro,ONC201 1 uM (Fig6A-B),
ovcar5_onc201_10_fig6ab,ovcar5_in_vitro,ONC201 10 uM (Fig6A-B),
ovcar5_onc201_100_fig6ab,ovcar5_in_vitro,ONC201 100 uM (Fig6A-B),
skov3_onc201_0_fig6ab,skov3_in_vitro,ONC201 0 uM (Fig6A-B),
skov3_onc201_1_fig6ab,skov3_in_vitro,ONC201 1 uM (Fig6A-B),
skov3_onc201_10_fig6ab,skov3_in_vitro,ONC201 10 uM (Fig6A-B),
skov3_onc201_100_fig6ab,skov3_in_vitro,ONC201 100 uM (Fig6A-B),
ovcar5_onc201_0_48h_fig6c,ovcar5_in_vitro,"ONC201 0 uM, 48h (Fig6C)",
ovcar5_onc201_1_48h_fig6c,ovcar5_in_vitro,"ONC201 1 uM, 48h (Fig6C)",
ovcar5_onc201_10_48h_fig6c,ovcar5_in_vitro,"ONC201 10 uM, 48h (Fig6C)",
ovcar5_onc201_100_48h_fig6c,ovcar5_in_vitro,"ONC201 100 uM, 48h (Fig6C)",
skov3_onc201_0_48h_fig6c,skov3_in_vitro,"ONC201 0 uM, 48h (Fig6C)",
skov3_onc201_1_48h_fig6c,skov3_in_vitro,"ONC201 1 uM, 48h (Fig6C)",
skov3_onc201_10_48h_fig6c,skov3_in_vitro,"ONC201 10 uM, 48h (Fig6C)",
skov3_onc201_100_48h_fig6c,skov3_in_vitro,"ONC201 100 uM, 48h (Fig6C)",
ovcar5_onc201_0_24h_fig8a,ovcar5_in_vitro,"ONC201 0 uM, 24h (Fig8A)",
ovcar5_onc201_1_24h_fig8a,ovcar5_in_vitro,"ONC201 1 uM, 24h (Fig8A)",
ovcar5_onc201_10_24h_fig8a,ovcar5_in_vitro,"ONC201 10 uM, 24h (Fig8A)",
ovcar5_onc201_100_24h_fig8a,ovcar5_in_vitro,"ONC201 100 uM, 24h (Fig8A)",
skov3_onc201_0_24h_fig8a,skov3_in_vitro,"ONC201 0 uM, 24h (Fig8A)",
skov3_onc201_1_24h_fig8a,skov3_in_vitro,"ONC201 1 uM, 24h (Fig8A)",
skov3_onc201_10_24h_fig8a,skov3_in_vitro,"ONC201 10 uM, 24h (Fig8A)",
skov3_onc201_100_24h_fig8a,skov3_in_vitro,"ONC201 100 uM, 24h (Fig8A)",
